Timestamp,Last_Close,Predicted_Next_Close,Direction,Confidence
2025-02-05 10:55:46 AM,50467.75,50467.75,DOWN,49.20%
2025-02-05 10:56:46 AM,50463.6015625,50463.6015625,DOWN,49.20%
2025-02-05 10:57:48 AM,50419.6015625,50419.6015625,UP,50.25%
2025-02-05 10:58:48 AM,50425.8984375,50425.8984375,UP,52.40%
2025-02-05 10:59:49 AM,50427.0,50427.0,UP,51.39%
2025-02-05 11:00:49 AM,50427.8515625,50427.8515625,UP,51.43%
2025-02-05 11:01:51 AM,50420.94921875,50420.94921875,UP,51.16%
2025-02-05 11:02:51 AM,50417.05078125,50417.05078125,UP,51.63%
2025-02-05 11:03:52 AM,50384.75,50384.75,UP,50.98%
2025-02-05 11:04:53 AM,50395.3984375,50395.3984375,UP,51.63%
2025-02-05 11:05:53 AM,50389.44921875,50389.44921875,UP,51.62%
2025-02-05 11:06:54 AM,50350.6015625,50350.6015625,UP,51.98%
2025-02-05 11:07:55 AM,50363.69921875,50363.69921875,UP,51.75%
2025-02-05 11:08:56 AM,50360.25,50360.25,UP,51.41%
2025-02-05 11:09:56 AM,50367.55078125,50367.55078125,UP,51.20%
2025-02-05 11:10:57 AM,50363.0,50363.0,UP,51.30%
2025-02-05 11:11:58 AM,50369.5,50369.5,UP,51.42%
2025-02-05 11:12:58 AM,50374.8984375,50374.8984375,UP,51.06%
2025-02-05 11:13:59 AM,50367.75,50367.75,UP,51.32%
2025-02-05 11:14:00 AM,50374.25,50384.71828936413,UP,51.32%
2025-02-05 11:16:01 AM,50374.3515625,50374.3515625,UP,51.13%
2025-02-05 11:17:01 AM,50385.3515625,50385.3515625,UP,50.72%
2025-02-05 11:18:03 AM,50343.6015625,50343.6015625,UP,51.39%
2025-02-05 11:19:04 AM,50347.55078125,50347.55078125,UP,51.61%
2025-02-05 11:20:04 AM,50342.75,50342.75,UP,52.39%
2025-02-05 11:21:05 AM,50352.1484375,50352.1484375,UP,51.28%
2025-02-05 11:22:05 AM,50369.69921875,50369.69921875,UP,50.98%
2025-02-05 11:23:07 AM,50376.94921875,50376.94921875,UP,50.88%
2025-02-05 11:24:07 AM,50405.94921875,50405.94921875,DOWN,49.80%
2025-02-05 11:25:08 AM,50420.6015625,50420.6015625,DOWN,49.91%
2025-02-05 11:26:09 AM,50418.80078125,50418.80078125,DOWN,49.95%
2025-02-05 11:27:10 AM,50407.8984375,50407.8984375,DOWN,49.72%
2025-02-05 11:28:10 AM,50426.30078125,50426.30078125,DOWN,49.67%
2025-02-05 11:29:11 AM,50418.44921875,50418.44921875,DOWN,49.72%
2025-02-05 11:30:12 AM,50413.69921875,50413.69921875,UP,50.17%
2025-02-05 11:31:13 AM,50398.3515625,50398.3515625,UP,50.11%
2025-02-05 11:32:14 AM,50399.3984375,50399.3984375,UP,50.23%
2025-02-05 11:33:14 AM,50391.5,50391.5,UP,50.29%
2025-02-05 11:34:15 AM,50396.44921875,50396.44921875,UP,50.17%
2025-02-05 11:35:16 AM,50405.3984375,50405.3984375,UP,50.14%
2025-02-05 11:36:17 AM,50404.80078125,50404.80078125,DOWN,49.87%
2025-02-05 11:37:17 AM,50402.0,50402.0,DOWN,49.84%
2025-02-05 11:38:18 AM,50416.3515625,50416.3515625,DOWN,49.46%
2025-02-05 11:39:19 AM,50415.8984375,50415.8984375,DOWN,49.49%
2025-02-05 11:40:20 AM,50428.1015625,50428.1015625,DOWN,49.46%
2025-02-05 11:41:21 AM,50424.69921875,50424.69921875,DOWN,49.54%
2025-02-05 11:42:22 AM,50392.8984375,50392.8984375,UP,50.61%
2025-02-05 11:43:23 AM,50402.69921875,50402.69921875,UP,50.85%
2025-02-05 11:44:23 AM,50419.69921875,50419.69921875,UP,50.14%
2025-02-05 11:45:32 AM,50418.1015625,50418.1015625,UP,50.15%
2025-02-05 11:46:33 AM,50426.05078125,50426.05078125,DOWN,49.61%
2025-02-05 11:47:34 AM,50444.1484375,50444.1484375,DOWN,49.49%
2025-02-05 11:48:35 AM,50444.1484375,50444.1484375,DOWN,49.60%
2025-02-05 11:49:35 AM,50440.3984375,50440.3984375,DOWN,49.50%
2025-02-05 11:50:36 AM,50430.3515625,50430.3515625,DOWN,49.26%
2025-02-05 11:51:37 AM,50430.6484375,50430.6484375,DOWN,49.91%
2025-02-05 11:52:38 AM,50414.6484375,50414.6484375,UP,50.35%
2025-02-05 11:53:39 AM,50429.44921875,50429.44921875,UP,50.16%
2025-02-05 11:54:41 AM,50421.8984375,50421.8984375,UP,50.01%
2025-02-05 11:55:41 AM,50419.1484375,50419.1484375,UP,50.18%
2025-02-05 11:56:42 AM,50412.25,50412.25,UP,50.27%
2025-02-05 11:57:43 AM,50406.44921875,50406.44921875,UP,51.35%
2025-02-05 11:58:44 AM,50408.44921875,50408.44921875,DOWN,49.98%
2025-02-05 11:59:44 AM,50406.6015625,50406.6015625,UP,50.93%
2025-02-05 12:00:44 PM,50409.44921875,50409.44921875,UP,51.03%
2025-02-05 12:03:22 PM,50387.3515625,50400.399872996684,UP,51.79%
2025-02-05 12:04:24 PM,50388.6015625,50401.6499864591,UP,51.79%
2025-02-05 12:05:24 PM,50373.80078125,50386.86577002866,UP,51.87%
2025-02-05 12:06:25 PM,50375.69921875,50388.65261189312,UP,51.43%
2025-02-05 12:07:27 PM,50388.8515625,50401.772158508866,UP,51.28%
2025-02-05 12:08:28 PM,50369.69921875,50382.574936064804,UP,51.12%
2025-02-05 12:09:28 PM,50369.3515625,50382.295097276154,UP,51.39%
2025-02-05 12:10:29 PM,50366.6484375,50379.61205058293,UP,51.48%
2025-02-05 12:11:30 PM,50364.1484375,50377.124626151126,UP,51.53%
2025-02-05 12:12:31 PM,50353.75,50366.89213553719,UP,52.20%
2025-02-05 12:13:32 PM,50344.6484375,50357.69188019238,UP,51.82%
2025-02-05 12:14:32 PM,50328.94921875,50342.105161790954,UP,52.28%
2025-02-05 12:15:33 PM,50343.3984375,50356.27358913412,UP,51.15%
2025-02-05 12:16:34 PM,50329.1484375,50342.24705146636,UP,52.05%
2025-02-05 12:17:35 PM,50338.25,50351.14679545021,UP,51.24%
2025-02-05 12:18:35 PM,50364.05078125,50376.90272331976,UP,51.04%
2025-02-05 12:19:36 PM,50384.80078125,50397.47130535234,UP,50.30%
2025-02-05 12:20:37 PM,50389.69921875,50377.10344284492,DOWN,49.99%
2025-02-05 12:21:38 PM,50388.6015625,50401.322156917755,UP,50.49%
2025-02-05 12:22:39 PM,50375.3984375,50362.807966574976,DOWN,49.99%
2025-02-05 12:23:39 PM,50368.69921875,50381.45222486221,UP,50.64%
2025-02-05 12:24:40 PM,50353.25,50366.161635208366,UP,51.28%
2025-02-05 12:25:41 PM,50354.94921875,50368.28225847274,UP,52.96%
2025-02-05 12:26:42 PM,50382.5,50395.647224739936,UP,52.19%
2025-02-05 12:27:43 PM,50379.8515625,50392.62471288084,UP,50.71%
2025-02-05 12:28:43 PM,50363.3515625,50376.07193042935,UP,50.51%
2025-02-05 12:29:44 PM,50381.75,50394.633155120035,UP,51.14%
2025-02-05 12:30:45 PM,50352.69921875,50365.35086859203,UP,50.25%
2025-02-05 12:31:46 PM,50389.6015625,50402.28484516465,UP,50.34%
2025-02-05 12:32:46 PM,50385.3984375,50398.0043493102,UP,50.04%
2025-02-05 12:33:47 PM,50384.80078125,50397.417018583226,UP,50.08%
2025-02-05 12:34:48 PM,50400.8984375,50413.502719183765,UP,50.02%
2025-02-05 12:35:49 PM,50415.1484375,50402.64960146657,DOWN,49.58%
2025-02-05 12:36:49 PM,50410.5,50397.96315314003,DOWN,49.74%
2025-02-05 12:37:50 PM,50406.0,50393.464272268204,DOWN,49.74%
2025-02-05 12:38:51 PM,50425.6484375,50413.128026208135,DOWN,49.66%
2025-02-05 12:39:51 PM,50416.8984375,50404.352272564305,DOWN,49.77%
2025-02-05 12:40:52 PM,50424.5,50411.97203166819,DOWN,49.69%
2025-02-05 12:41:53 PM,50445.6015625,50433.035705990245,DOWN,49.82%
2025-02-05 12:42:54 PM,50444.8984375,50432.36267179833,DOWN,49.70%
2025-02-05 12:43:55 PM,50434.75,50422.221490154385,DOWN,49.68%
